Names	experiment Cy3	experiment Cy5
GSE42215/GSM630388.txt.gz	ref	wt
GSE42215/GSM819680_1311_raw.txt.gz	wt	ref
GSE42215/GSM630380.txt.gz	ref	wt
GSE42215/GSM1035473_3921_raw.txt.gz	ref	wt
GSE42215/GSM1035472_3361_raw.txt.gz	wt	ref
GSE42215/GSM1035471_1437_raw.txt.gz	ref	wt
GSE42215/GSM1035470_1431_raw.txt.gz	wt	ref
GSE42215/GSM1035477_5935_raw.txt.gz	ref	wt
GSE42215/GSM1035476_5930_raw.txt.gz	wt	ref
GSE42215/GSM1035475_5305_raw.txt.gz	ref	wt
GSE42215/GSM1035474_5299_raw.txt.gz	wt	ref
GSE42215/GSM1035572_5130_raw.txt.gz	ref	wt
GSE42215/GSM1035573_5009_raw.txt.gz	ref	wt
GSE42215/GSM1035479_1248_raw.txt.gz	wt	ref
GSE42215/GSM1035478_6073_raw.txt.gz	wt	ref
GSE42215/GSM1035576_5015_raw.txt.gz	ref	wt
GSE42215/GSM1035577_5415_raw.txt.gz	wt	ref
GSE42215/GSM1035574_4983_raw.txt.gz	wt	ref
GSE42215/GSM1035575_5010_raw.txt.gz	wt	ref
GSE42215/GSM1035587_446_raw.txt.gz	wt	ref
GSE42215/GSM1035586_401_raw.txt.gz	ref	wt
GSE42215/GSM1035585_5490_raw.txt.gz	ref	wt
GSE42215/GSM1035584_5511_raw.txt.gz	ref	wt
GSE42215/GSM1035583_5506_raw.txt.gz	wt	ref
GSE42215/GSM1035582_5680_raw.txt.gz	wt	ref
GSE42215/GSM1035581_5700_raw.txt.gz	ref	wt
GSE42215/GSM1035580_5422_raw.txt.gz	ref	wt
GSE42215/GSM1035589_5688_raw.txt.gz	ref	wt
GSE42215/GSM1035588_462_raw.txt.gz	ref	wt
GSE42215/GSM630443.txt.gz	wt	ref
GSE42215/GSM630440.txt.gz	ref	wt
GSE42215/GSM630446.txt.gz	ref	wt
GSE42215/GSM630444.txt.gz	ref	wt
GSE42215/GSM1035569_4879_raw.txt.gz	wt	ref
GSE42215/GSM1035568_4820_raw.txt.gz	wt	ref
GSE42215/GSM819708_1582_raw.txt.gz	ref	wt
GSE42215/GSM819711_1810_raw.txt.gz	wt	ref
GSE42215/GSM1035561_4608_raw.txt.gz	ref	wt
GSE42215/GSM1035560_4597_raw.txt.gz	wt	ref
GSE42215/GSM1035563_4670_raw.txt.gz	ref	wt
GSE42215/GSM1035562_4643_raw.txt.gz	ref	wt
GSE42215/GSM1035565_4736_raw.txt.gz	ref	wt
GSE42215/GSM1035564_4730_raw.txt.gz	wt	ref
GSE42215/GSM1035567_4860_raw.txt.gz	ref	wt
GSE42215/GSM1035566_4745_raw.txt.gz	ref	wt
GSE42215/GSM630375.txt.gz	wt	ref
GSE42215/GSM630374.txt.gz	ref	wt
GSE42215/GSM630377.txt.gz	wt	ref
GSE42215/GSM630376.txt.gz	ref	wt
GSE42215/GSM630373.txt.gz	wt	ref
GSE42215/GSM630372.txt.gz	ref	wt
GSE42215/GSM630379.txt.gz	wt	ref
GSE42215/GSM1035578_5409_raw.txt.gz	ref	wt
GSE42215/GSM819718_3092_raw.txt.gz	wt	ref
GSE42215/GSM819719_3093_raw.txt.gz	ref	wt
GSE42215/GSM1035579_5416_raw.txt.gz	wt	ref
GSE42215/GSM819710_1761_raw.txt.gz	ref	wt
GSE42215/GSM630472.txt.gz	ref	wt
GSE42215/GSM819713_1773_raw.txt.gz	ref	wt
GSE42215/GSM630473.txt.gz	wt	ref
GSE42215/GSM819677_1290_raw.txt.gz	ref	wt
GSE42215/GSM819676_1285_raw.txt.gz	wt	ref
GSE42215/GSM819675_1280_raw.txt.gz	ref	wt
GSE42215/GSM819674_1276_raw.txt.gz	wt	ref
GSE42215/GSM630470.txt.gz	ref	wt
GSE42215/GSM630455.txt.gz	wt	ref
GSE42215/GSM630471.txt.gz	wt	ref
GSE42215/GSM630451.txt.gz	wt	ref
