	SystematicName	GeneSymbol
1	YEL040W	UTR2
2	YOL014W	YOL014W
3	YGL076C	RPL7A
4	YAR075W	YAR075W
5	YML056C	IMD4
6	YOL039W	RPP2A
7	YOL120C	RPL18A
8	YDL081C	RPP1A
9	YOR167C	RPS28A
10	YNL301C	RPL18B
11	YDL130W	RPP1B
12	YLR406C	RPL31B
13	YDL014W	NOP1
14	YBR085W	AAC3
15	YMR242C	RPL20A
16	YEL026W	SNU13
17	YBR291C	CTP1
18	YBL087C	RPL23A
19	YGL031C	RPL24A
20	YHR128W	FUR1
21	YKL096W	CWP1
22	YLR112W	YLR112W
23	YOR315W	YOR315W
24	YMR194W	RPL36A
25	YLR264W	RPS28B
26	YCR031C	RPS14A
27	YBL072C	RPS8A
28	YDL075W	RPL31A
29	YDR450W	RPS18A
30	YPL142C	YPL142C
31	YGR085C	RPL11B
32	YDR144C	MKC7
33	YJR009C	TDH2
34	YLR367W	RPS22B
35	YGR192C	TDH3
36	YIR030C	DCG1
37	YER117W	RPL23B
38	YHR068W	DYS1
39	YHL001W	RPL14B
40	YOR310C	NOP58
41	YDL241W	YDL241W
42	YAR073W	IMD1
43	YLR073C	YLR073C
44	YML026C	RPS18B
45	YGR082W	TOM20
46	YCR043C	YCR043C
47	YOL097C	WRS1
48	YJL193W	YJL193W
49	YKL006W	RPL14A
50	YLR344W	RPL26A
51	YLR325C	RPL38
52	YBR294W	SUL1
53	YER102W	RPS8B
54	YLR372W	SUR4
55	YHR089C	GAR1
56	YLR008C	PAM18
57	YOR045W	TOM6
58	YGR123C	PPT1
59	YLL062C	MHT1
60	YHR216W	IMD2
61	YHR005C-A	MRS11
62	Q0160	SCEI
63	YOR095C	RKI1
64	YDR508C	GNP1
65	YBR189W	RPS9B
66	YNL248C	RPA49
67	YOR067C	ALG8
68	YLR146C	SPE4
69	YHR133C	YHR133C
70	YBL027W	RPL19B
71	YGR148C	RPL24B
72	YCL037C	SRO9
73	YCL021W-A	YCL021W-A
74	YKL192C	ACP1
75	YLR413W	YLR413W
76	YPR102C	RPL11A
77	YLR197W	SIK1
78	YIR019C	MUC1
79	YKL154W	SRP102
80	YKR057W	RPS21A
81	YAR002C-A	ERP1
82	YJL191W	RPS14B
83	YJR101W	RSM26
84	YDR165W	TRM82
85	YDR321W	ASP1
86	YDL136W	RPL35B
87	YGL051W	MST27
88	YLR364W	YLR364W
89	YDL191W	RPL35A
90	YJR124C	YJR124C
91	YDR518W	EUG1
92	YPL252C	YAH1
93	YGL147C	RPL9A
94	YMR189W	GCV2
95	YDR471W	RPL27B
96	YLR432W	IMD3
97	YLR293C	GSP1
98	YPR041W	TIF5
99	YJR047C	ANB1
100	YLL044W	YLL044W
101	YHL003C	LAG1
102	YJR145C	RPS4A
103	YKL004W	AUR1
104	YPL198W	RPL7B
105	YKR092C	SRP40
106	YMR318C	ADH6
107	YKR085C	MRPL20
108	YMR230W	RPS10B
109	YJL188C	BUD19
110	YHR025W	THR1
111	YBR048W	RPS11B
112	YFL045C	SEC53
113	YER009W	NTF2
114	YER060W	FCY21
115	YJR010W	MET3
116	YOR232W	MGE1
117	YPR144C	NOC4
118	YBR084C-A	RPL19A
119	YBL002W	HTB2
120	YDR044W	HEM13
121	YFL026W	STE2
122	YDR025W	RPS11A
123	YDL219W	DTD1
124	YHR010W	RPL27A
125	YOL010W	RCL1
126	YNL131W	TOM22
127	YBL039C	URA7
128	YOR340C	RPA43
129	YHR059W	FYV4
130	YMR006C	PLB2
131	YDR417C	YDR417C
132	YOL124C	TRM11
133	YBR252W	DUT1
134	YOL080C	REX4
135	YFL034C-A	RPL22B
136	YDR184C	ATC1
137	YLR452C	SST2
138	YDR449C	UTP6
139	YJR094W-A	RPL43B
140	YJL136C	RPS21B
141	YDL045W-A	MRP10
142	YJR063W	RPA12
143	YGR283C	YGR283C
144	YNR017W	MAS6
145	YJL091C	GWT1
146	YDR302W	GPI11
147	YNL300W	YNL300W
148	YNR061C	YNR061C
149	YDR410C	STE14
150	YJL148W	RPA34
151	YPL076W	GPI2
152	YLR186W	EMG1
153	YER146W	LSM5
154	YBR191W	RPL21A
155	YNR022C	MRPL50
156	YDR083W	RRP8
157	YMR013W-A	YMR013W-A
158	YCL007C	YCL007C
159	YGR208W	SER2
160	YLR065C	YLR065C
161	YLR180W	SAM1
162	YPR039W	YPR039W
163	YJR118C	ILM1
164	YMR215W	GAS3
165	YHL004W	MRP4
166	YBR091C	MRS5
167	YGR215W	RSM27
168	YGR177C	ATF2
169	YIL015W	BAR1
170	YBR146W	MRPS9
171	YDR091C	RLI1
172	YOR390W	YOR390W
173	YNL058C	YNL058C
174	YMR243C	ZRC1
175	YJR020W	YJR020W
176	YCR072C	YCR072C
177	YDR322W	MRPL35
178	YHR049W	FSH1
179	YPL081W	RPS9A
180	YDL227C	HO
181	YKL009W	MRT4
182	YML129C	COX14
183	YLR175W	CBF5
184	YIL103W	DPH1
185	YEL001C	YEL001C
186	YLR287C-A	RPS30A
187	YPL256C	CLN2
188	YOR247W	SRL1
189	YMR312W	ELP6
