Names	experiment Cy3	experiment Cy5
GSM1107439_5129_raw.txt.gz	mft1	ref
GSM1107438_2624_raw.txt.gz	ref	mfb1
GSM1107435_10103_raw.txt.gz	met18	ref
GSM1107434_9172_raw.txt.gz	ref	met13
GSM1107437_2618_raw.txt.gz	mfb1	ref
GSM1107436_10112_raw.txt.gz	ref	met18
GSM1107431_8333_raw.txt.gz	mei5	ref
GSM1107430_6174_raw.txt.gz	ref	med13
GSM1107433_8536_raw.txt.gz	met13	ref
GSM1107432_9499_raw.txt.gz	ref	mei5
GSM1107840_10730_raw.txt.gz	ref	tlc1
GSM819558_1762_raw.txt.gz	ref	hap4
GSM819559_1432_raw.txt.gz	hsp12	ref
GSM1107841_6873_raw.txt.gz	tma22	ref
GSM819552_2754_raw.txt.gz	ref	gsy2
GSM819553_10359_raw.txt.gz	hap2	ref
GSM819550_2755_raw.txt.gz	ref	gsy1
GSM819551_2749_raw.txt.gz	gsy2	ref
GSM819556_6280_raw.txt.gz	ref	hap3
GSM1107842_7853_raw.txt.gz	ref	tma22
GSM819554_10371_raw.txt.gz	ref	hap2
GSM819555_6269_raw.txt.gz	hap3	ref
GSM636485_538_raw.txt.gz	ref	med20
GSM1107843_7466_raw.txt.gz	tma23	ref
GSM636484_532_raw.txt.gz	med20	ref
GSM1107844_8286_raw.txt.gz	ref	tma23
GSM636487_2991_raw.txt.gz	ref	med3
GSM1107845_304_raw.txt.gz	tom1	ref
GSM636486_2990_raw.txt.gz	med3	ref
GSM1107846_310_raw.txt.gz	ref	tom1
GSM636481_3162_raw.txt.gz	ref	med18
GSM1107847_7460_raw.txt.gz	ref	top3
GSM636480_3159_raw.txt.gz	med18	ref
GSM636483_526_raw.txt.gz	ref	med2
GSM636482_524_raw.txt.gz	med2	ref
GSM1107093_3394_raw.txt.gz	ref	add66
GSM1107092_3383_raw.txt.gz	add66	ref
GSM1107091_8903_raw.txt.gz	ref	aco1
GSM1107090_8799_raw.txt.gz	aco1	ref
